price,location,size,date
,"Postojna, Postojna",Unknown,14.11.2022
680,"Ljubljana Šiška, Šiška",45,14.11.2022
,"Maribor, Tabor",37,14.11.2022
600,"Primorsko-goranska, Rijeka",60,14.11.2022
700,"Ljubljana Bežigrad, Bežigrad",Unknown,13.11.2022
,"Koper, Hrvatini",40,13.11.2022
550,"Maribor, Center",63,13.11.2022
,"Metlika, Metlika",160,13.11.2022
500,"Maribor, Tezno",60,13.11.2022
980,"Ljubljana Center, Stara Ljubljana",25,13.11.2022
400,"Maribor, Borova vas",Unknown,13.11.2022
750,"Ljubljana Šiška, Šiška",52,13.11.2022
600,"Maribor, Magdalena",64,13.11.2022
280,"Moravske Toplice, Moravske Toplice",50,13.11.2022
0,"Ptuj, Ptuj",60,13.11.2022
450,"Ljubljana Moste Polje, Moste",45,12.11.2022
300,"Maribor, Tezno",27,12.11.2022
700,"Kamnik, Kamnik",42,12.11.2022
2.500,"Ljubljana Center, Center",135,12.11.2022
180,"Hoče, Slivnica pri Mariboru",40,12.11.2022
,"Kranjska Gora, Kranjska Gora",Unknown,12.11.2022
420,"Celje, Center",33,12.11.2022
550,"Izola, Izola",38,12.11.2022
580,"Maribor, Za Kalvarijo",55,12.11.2022
800,"Ljubljana Moste Polje, Polje",50,12.11.2022
300,"Hoče, Rogoza",37,12.11.2022
75.000,"Hrastnik, Hrastnik",80,12.11.2022
600,"Primorsko-goranska, Rijeka",32,12.11.2022
,"Hoče, Hočko Pohorje",75,11.11.2022
240,"Ptuj, Ptuj",20,11.11.2022
150,"Brežice, Brežice",25,11.11.2022
0,"Lendava, Lendavske Gorice",70,11.11.2022
,"Celje, Slavko Šlander",Unknown,11.11.2022
750,"Maribor, Center",108,11.11.2022
700,"Komenda, Klanec",75,11.11.2022
800,"Ljubljana Šiška, Podutik",80,11.11.2022
80,Avstrija,25,11.11.2022
500,"Maribor, Borova vas",55,11.11.2022
690,"Maribor, Center",71.5,11.11.2022
750,"Domžale, Ihan",58,11.11.2022
,"Gornja Radgona, Gornja Radgona",51,11.11.2022
600,"Istrska, Pula",70,11.11.2022
550,"Maribor, Pobrežje",50,11.11.2022
650,"Primorsko-goranska, Rijeka",70,11.11.2022
0,"Škofja Loka, Križna Gora",50,10.11.2022
